Code,name,full_address,address,County,State,ZIP,GEOID,latitude,longitude,rating,reviews,range,TotalPopulation,AsianPopulation,MedianHouseholdIncome,PublicTransportationCommuters,AsianDensity
22,Kenny's Sub Shop,"130 Rollins Ave suite a, Rockville, MD 20852",130 Rollins Ave suite a,Rockville,MD,20852,240317012181,39.0584442,-77.1224453,4,242,2,2738,565,241,85925,0.20635501
23,Good Fortune Cafe,"237 Kentlands Blvd, Gaithersburg, MD 20878",237 Kentlands Blvd,Gaithersburg,MD,20878,240317008261,39.1252789,-77.2389604,3.9,109,,937,122,14,90509,0.13020277
24,Yu Zhou Cafe,"576 N Frederick Ave, Gaithersburg, MD 20877",576 N Frederick Ave,Gaithersburg,MD,20877,240317007233,39.148056,-77.210437,4.2,494,2,122,0,0,,0
25,Hearty's Sichuan Cuisine Chinese Restaurant,"227 Muddy Branch Rd, Gaithersburg, MD 20878",227 Muddy Branch Rd,Gaithersburg,MD,20878,240317008371,39.1277188,-77.2061398,3.8,174,1,2029,1734,24,115890,0.85460818
26,Hong Kong Pearl Seafood Restaurant (MD),"16515 S Frederick Ave, Gaithersburg, MD 20877",16515 S Frederick Ave,Gaithersburg,MD,20877,240317007282,39.1270677,-77.1829447,3.6,97,,1060,217,57,99750,0.20471698
27,Chinese Express,"849 Russell Ave, Gaithersburg, MD 20879",849 Russell Ave,Gaithersburg,MD,20879,240317007331,39.1569345,-77.2118854,3.6,171,1,2216,126,199,81500,0.056859206
28,Szechuan Palace,"12137 Darnestown Rd, Gaithersburg, MD 20878",12137 Darnestown Rd,Gaithersburg,MD,20878,240317008241,39.1183362,-77.2508722,3.9,97,,2728,433,55,211563,0.15872434
29,Ming's Asian Bistro,"251 Market St W #5565, Gaithersburg, MD 20878",251 Market St W #5565,Gaithersburg,MD,20878,240317008261,39.1212763,-77.2356747,4,190,1,937,122,14,90509,0.13020277
30,Hunan Express,"9134 Rothbury Dr #1400, Gaithersburg, MD 20886",9134 Rothbury Dr #1400,Gaithersburg,MD,20886,240317008112,39.184536,-77.18914,3.1,88,1,3681,343,274,84152,0.0931812
31,Hunan Cafe,"18749 N Frederick Ave, Gaithersburg, MD 20879",18749 N Frederick Ave,Gaithersburg,MD,20879,240317007333,39.1636897,-77.2254162,3.7,71,2,2916,434,87,88607,0.14883402
32,Asia Nine MD,"254 Crown Park Ave, Gaithersburg, MD 20878",254 Crown Park Ave,Gaithersburg,MD,20878,240317008393,39.1142011,-77.2046662,4.2,669,2,1991,859,84,168318,0.43144149
33,Pacifica Café,"621 Center Point Way, Gaithersburg, MD 20878",621 Center Point Way,Gaithersburg,MD,20878,240317008261,39.1214526,-77.2336633,4.2,209,2,937,122,14,90509,0.13020277
34,Lanzhou Hand Pull Noodle,"3 Grand Corner Ave, Gaithersburg, MD 20878",3 Grand Corner Ave,Gaithersburg,MD,20878,240317008393,39.1183145,-77.2006504,4,458,2,1991,859,84,168318,0.43144149
35,Lu Buffet & Grill,"218 N Frederick Ave, Gaithersburg, MD 20877",218 N Frederick Ave,Gaithersburg,MD,20877,240317007234,39.1433375,-77.2029946,3.8,780,2,1844,504,52,78611,0.27331889
36,Flo’s Taiwan Cuisine,"227 Muddy Branch Rd, Gaithersburg, MD 20878",227 Muddy Branch Rd,Gaithersburg,MD,20878,240317008371,39.1277188,-77.2061398,4.3,35,2,2029,1734,24,115890,0.85460818
37,Kenny's Sub Shop,"288 N Frederick Ave, Gaithersburg, MD 20877",288 N Frederick Ave,Gaithersburg,MD,20877,240317007234,39.1445813,-77.203438,3.7,281,1,1844,504,52,78611,0.27331889
38,Han spot all day dim sum 漢食尚,"9811 Washingtonian Blvd, Gaithersburg, MD 20878",9811 Washingtonian Blvd,Gaithersburg,MD,20878,240317008393,39.1155262,-77.197189,2.7,160,2,1991,859,84,168318,0.43144149
39,Mickys Chinese Restaurant,"18204 Contour Rd, Montgomery Village, MD 20877",18204 Contour Rd,Montgomery Village,MD,20877,240317007133,39.1555036,-77.1992648,3.6,200,1,0,0,0,,
40,Oriental Cafe,"9745 Traville Gateway Dr, Rockville, MD 20850",9745 Traville Gateway Dr,Rockville,MD,20850,240317012212,39.0919795,-77.2033515,3.5,100,2,2943,1527,127,111625,0.51885831
41,SHANGHAI HOME,"110 Odendhal Ave, Gaithersburg, MD 20877",110 Odendhal Ave,Gaithersburg,MD,20877,240317007133,39.1499748,-77.2063257,4.4,7,,0,0,0,,
42,Mandarin Express,"15209 Frederick Rd #5, Rockville, MD 20850",15209 Frederick Rd #5,Rockville,MD,20850,240317012114,39.105777,-77.15725,3.7,155,1,0,0,0,,
43,China Jade Rockville,"16805 Crabbs Branch Way, Derwood, MD 20855",16805 Crabbs Branch Way,Derwood,MD,20855,240317007111,39.1313585,-77.1667133,4.1,326,2,2341,426,58,132857,0.18197352
44,MaMa Wok,"9900 Key W Ave C, Rockville, MD 20850",9900 Key W Ave C,Rockville,MD,20850,240317008382,39.1009025,-77.2116163,4,306,2,3261,380,237,113005,0.11652867
45,China Bistro,"755 Hungerford Dr, Rockville, MD 20850",755 Hungerford Dr,Rockville,MD,20850,240317009013,39.0932399,-77.1530027,4.1,535,1,1547,376,367,111635,0.24305107
46,Kung Fu 12 Szechuan (Rockville) 功夫十二,"14921 Shady Grove Rd D, Rockville, MD 20850",14921 Shady Grove Rd D,Rockville,MD,20850,240317010072,39.0967171,-77.193222,4.7,56,2,2773,895,73,136419,0.32275513
47,Sichuan Jin River,"410 Hungerford Dr, Rockville, MD 20850",410 Hungerford Dr,Rockville,MD,20850,240317009013,39.0877333,-77.1516948,4.2,534,2,1547,376,367,111635,0.24305107
48,Shanghai Taste,"1121 Nelson St, Rockville, MD 20850",1121 Nelson St,Rockville,MD,20850,240317010042,39.091954,-77.1746068,4.2,518,1,1541,55,96,159306,0.035691109
49,Hunan Palace Restaurant,"9011 Gaither Rd, Gaithersburg, MD 20877",9011 Gaither Rd,Gaithersburg,MD,20877,240317007183,39.1179096,-77.1844982,3.1,11,2,0,0,0,,
50,B2J Fish Soup Gaithersburg 不二家酸菜鱼 Gaithersburg,"9629 Lost Knife Rd, Gaithersburg, MD 20877",9629 Lost Knife Rd,Gaithersburg,MD,20877,240317007133,39.1531019,-77.1966697,4.8,358,1,0,0,0,,
51,Peter Chang Gaithersburg,"637 Frederick Rd, Gaithersburg, MD 20879",637 Frederick Rd,Gaithersburg,MD,20879,240317007332,39.1548147,-77.2142076,3.9,158,2,0,0,0,,
52,Hot Pot Hero Gaithersburg,"100 Paramount Park Dr, Gaithersburg, MD 20879",100 Paramount Park Dr,Gaithersburg,MD,20879,240317007333,39.1596669,-77.2212756,4.6,991,2,2916,434,87,88607,0.14883402
53,Canton Delight,"18550 Woodfield Rd, Gaithersburg, MD 20879",18550 Woodfield Rd,Gaithersburg,MD,20879,240317001051,39.1614805,-77.1597356,4,299,1,1519,153,79,108542,0.10072416
54,Asian Cuisine & Seafood,"8035 Snouffer School Rd i2, Gaithersburg, MD 20879",8035 Snouffer School Rd i2,Gaithersburg,MD,20879,240317001051,39.161197,-77.1631072,4.5,50,2,1519,153,79,108542,0.10072416
55,George's Hot Pot & Korean BBQ Restaurant,"24 Bureau Dr, Gaithersburg, MD 20878",24 Bureau Dr,Gaithersburg,MD,20878,240317007062,39.1434863,-77.2175701,4.6,400,2,2270,401,235,56607,0.17665198
56,Siu's Asian Bistro,"12271 Tech Rd, Silver Spring, MD 20904",12271 Tech Rd,Silver Spring,MD,20904,240317014252,39.0569853,-76.9657582,3.9,235,2,1258,60,31,76250,0.047694754
57,China Dynasty,"15 Vital Way, Silver Spring, MD 20904",15 Vital Way,Silver Spring,MD,20904,240317015063,39.0749931,-77.0030364,3.9,141,2,670,48,51,208125,0.071641788
58,BUFETE Golden China,"12719 Old Columbia Pike, Silver Spring, MD 20904",12719 Old Columbia Pike,Silver Spring,MD,20904,240317014143,39.0641835,-76.9650159,3.3,206,1,1859,300,170,56125,0.16137709
59,Noodle King Restaurant,"12705 New Hampshire Ave, Colesville, MD 20904",12705 New Hampshire Ave,Colesville,MD,20904,240317015034,39.0645561,-76.9991836,4.4,502,2,1971,232,0,99125,0.11770675
60,Wing Wah,"41 Randolph Rd, Silver Spring, MD 20904",41 Randolph Rd,Silver Spring,MD,20904,240317015071,39.0763549,-77.0040514,4.4,424,1,2437,892,119,129306,0.36602381
61,Wong Gee Asian Restaurant,"2417 University Blvd W, Silver Spring, MD 20902",2417 University Blvd W,Silver Spring,MD,20902,240317038001,39.0419525,-77.0508246,3.9,465,2,2328,37,490,91000,0.01589347
62,Gourmet Inspirations,"2646 University Blvd W, Silver Spring, MD 20902",2646 University Blvd W,Silver Spring,MD,20902,240317038003,39.0404097,-77.0540117,4.3,583,2,1902,59,202,79238,0.031019978
63,Eastern Carryout,"8555 Piney Branch Rd, Silver Spring, MD 20901",8555 Piney Branch Rd,Silver Spring,MD,20901,240317019001,38.9981967,-77.0009672,3.9,167,2,1484,60,130,54063,0.040431269
64,Dragon City Restaurant,"918 Sligo Ave, Silver Spring, MD 20910",918 Sligo Ave,Silver Spring,MD,20910,240317025021,38.9900215,-77.0243762,3.7,189,2,1565,182,163,83286,0.11629393
65,Golden House,"8200 Georgia Ave, Silver Spring, MD 20910",8200 Georgia Ave,Silver Spring,MD,20910,240317025011,38.99169089999999,-77.0272866,3.9,177,1,2472,309,335,93606,0.125
66,Blue Pearl Buffet & Grill,"8661 Colesville Rd, Silver Spring, MD 20910",8661 Colesville Rd,Silver Spring,MD,20910,240317025033,38.9968047,-77.0259844,3.8,1201,2,1942,109,277,88311,0.056127705
67,Mayflower Chinese Restaurant,"1905 Seminary Rd, Silver Spring, MD 20910",1905 Seminary Rd,Silver Spring,MD,20910,240317028002,39.0090179,-77.0407322,3.3,95,1,2493,53,250,185584,0.021259526
68,Hunan City Restaurant,"9429 Georgia Ave, Silver Spring, MD 20910",9429 Georgia Ave,Silver Spring,MD,20910,240317029002,39.0093524,-77.0400075,3.2,49,2,1449,64,79,250001,0.04416839
69,Jenny’s Express,"2571 Ennalls Ave, Silver Spring, MD 20902",2571 Ennalls Ave,Silver Spring,MD,20902,240317038003,39.0398179,-77.0543663,3.9,61,2,1902,59,202,79238,0.031019978
70,QQ China,"13623 Georgia Ave, Silver Spring, MD 20906",13623 Georgia Ave,Silver Spring,MD,20906,240317032141,39.0794733,-77.0722849,4,169,1,2554,58,197,61288,0.022709476
71,Holy Chow!,"1331 Lamberton Dr, Silver Spring, MD 20902",1331 Lamberton Dr,Silver Spring,MD,20902,240317032091,39.0410909,-77.0315453,4.4,274,2,2320,457,201,54219,0.19698276
72,Lin's Chinese,"734 Cloverly St, Silver Spring, MD 20905",734 Cloverly St,Silver Spring,MD,20905,240317014083,39.1095161,-76.9954605,4.2,65,,856,118,19,105556,0.13785046
73,Asian Carry Out,"2662 2506 University Blvd E, Adelphi, MD 20783",2662 2506 University Blvd E,Adelphi,MD,20783,240338058011,38.9850574,-76.9670207,3.7,110,1,2396,99,163,98208,0.041318864
74,China King,"3827 Aspen Hill Rd, Silver Spring, MD 20906",3827 Aspen Hill Rd,Silver Spring,MD,20906,240317032011,39.0813515,-77.0770526,3.6,276,2,4241,453,233,164435,0.10681443
75,Lee's Kitchen,"Layhill Shopping Center, 14448 Layhill Rd, Silver Spring, MD 20906","Layhill Shopping Center, 14448 Layhill Rd",Silver Spring,MD,20906,240317032202,39.0927967,-77.0455796,3.9,188,1,3130,202,180,97171,0.064536743
76,New Paul Kee Restaurant,"11305 Georgia Ave b, Wheaton, MD 20902",11305 Georgia Ave b,Wheaton,MD,20902,240317038001,39.0405948,-77.0509483,4,263,2,2328,37,490,91000,0.01589347
77,Hollywood East Cafe,"11160 Veirs Mill Rd, Wheaton, MD 20902",11160 Veirs Mill Rd,Wheaton,MD,20902,240317038002,39.0372064,-77.0548945,4.2,354,2,0,0,0,,
78,China Palace Restaurant,"1500 University Blvd E, Adelphi, MD 20783",1500 University Blvd E,Adelphi,MD,20783,240338056012,38.985851,-76.9810577,3.8,101,2,1830,102,160,50179,0.055737704
79,Szechuan No 1,"13832 Old Columbia Pike, Silver Spring, MD 20904",13832 Old Columbia Pike,Silver Spring,MD,20904,240317014141,39.0837763,-76.952446,3.2,125,,1881,177,44,179722,0.094098881
80,Panda Express,"11160 Veirs Mill Rd, Wheaton, MD 20902",11160 Veirs Mill Rd,Wheaton,MD,20902,240317038002,39.0357173,-77.054757,3.8,303,1,0,0,0,,
81,Beijing Delight,"8646 Flower Ave, Takoma Park, MD 20912",8646 Flower Ave,Takoma Park,MD,20912,240317017021,38.9977533,-77.0039287,3.8,171,1,2450,82,301,59758,0.033469386
82,Hunan Hut,"7967 New Hampshire Ave, Adelphi, MD 20783",7967 New Hampshire Ave,Adelphi,MD,20783,240338056013,38.9901618,-76.9861876,4.2,177,,2853,12,268,85976,0.004206099
83,King Kong Restaurant,"2350 University Blvd E, Adelphi, MD 20783",2350 University Blvd E,Adelphi,MD,20783,240338058011,38.9850042,-76.9693018,4,119,1,2396,99,163,98208,0.041318864
84,China Golden Restaurant,"9127 Riggs Rd, Adelphi, MD 20783",9127 Riggs Rd,Adelphi,MD,20783,240338059042,39.003874,-76.9702266,3.9,107,1,3185,150,76,114519,0.047095761
85,New Mandarin,"5574 Norbeck Rd #2443, Rockville, MD 20853",5574 Norbeck Rd #2443,Rockville,MD,20853,240317032022,39.0952872,-77.1108497,3.8,85,,1305,71,20,97750,0.054406129
86,Peter's Sub Shop,"7603 Maple Ave, Takoma Park, MD 20912",7603 Maple Ave,Takoma Park,MD,20912,240317018001,38.9826233,-77.0071025,4.4,170,1,1647,157,62,37845,0.095324837
87,Northwest Chinese Food,"7313 Baltimore Ave suite E, College Park, MD 20740",7313 Baltimore Ave suite E,College Park,MD,20740,240339800001,38.9798914,-76.9376317,4.5,435,2,14109,1612,399,23661,0.11425331
88,China Buffet,"9098 Baltimore Ave, College Park, MD 20740",9098 Baltimore Ave,College Park,MD,20740,240338070004,39.0033569,-76.9311218,3.9,1476,1,1533,32,27,82333,0.020874104
89,China Sub Shop,"6561 Ager Rd, Hyattsville, MD 20782",6561 Ager Rd,Hyattsville,MD,20782,240338058022,38.9713265,-76.9779918,3.8,66,1,1940,37,256,76927,0.019072166
90,Panda China,"7432 Riggs Rd, Hyattsville, MD 20783",7432 Riggs Rd,Hyattsville,MD,20783,240338055002,38.9829221,-76.9798057,3,34,1,1781,0,41,53036,0
91,怡和,"13533 Connecticut Ave, Silver Spring, MD 20906",13533 Connecticut Ave,Silver Spring,MD,20906,240317033021,39.0774639,-77.0798191,4.3,20,,1911,167,0,109853,0.087388799
92,Koi Asian Cuisine,"12046 Cherry Hill Rd, Silver Spring, MD 20904",12046 Cherry Hill Rd,Silver Spring,MD,20904,240317014252,39.0541151,-76.9544679,4.1,906,2,1258,60,31,76250,0.047694754
93,Hunan Manor,"11237 New Hampshire Ave, Colesville, MD 20904",11237 New Hampshire Ave,Colesville,MD,20904,240317015092,39.0413989,-76.9880254,4,104,2,1363,80,167,66250,0.058694057
94,Indochine Express,"15416 New Hampshire Ave, Silver Spring, MD 20905",15416 New Hampshire Ave,Silver Spring,MD,20905,240317014084,39.1098466,-76.9976678,4.4,354,1,1699,517,28,142917,0.30429664
95,Mandarin Delight,"10613 Montgomery Rd, Beltsville, MD 20705",10613 Montgomery Rd,Beltsville,MD,20705,240338074053,39.0298462,-76.9162823,4.2,400,1,2792,108,73,115484,0.038681947
96,"DOVIS BEST RESTAURANT & BAR, CYNDY'S SEAFOOD","13843 Outlet Dr, Silver Spring, MD 20904",13843 Outlet Dr,Silver Spring,MD,20904,240317014221,39.0824732,-76.9450929,4.3,125,2,2711,157,231,50000,0.057912208
97,Hunan Express,"5039 Garrett Ave, Beltsville, MD 20705",5039 Garrett Ave,Beltsville,MD,20705,240338074043,39.0409916,-76.9052856,4.1,34,2,2257,409,165,99375,0.181214
98,Casa de mauricio,"7902 Kennewick Ave, Takoma Park, MD 20912",7902 Kennewick Ave,Takoma Park,MD,20912,240317017033,38.9891467,-76.9907884,,,,1163,281,35,107917,0.2416165
99,China Sub Shop,"905 Chillum Rd, Hyattsville, MD 20782",905 Chillum Rd,Hyattsville,MD,20782,240338050002,38.9617707,-76.9940133,3.6,282,1,2571,15,279,49375,0.005834306
100,Chinatown Restaurant,"1163 University Blvd E, Takoma Park, MD 20912",1163 University Blvd E,Takoma Park,MD,20912,240317017033,38.9887082,-76.9894138,3.4,16,2,1163,281,35,107917,0.2416165
101,Tom's Chinese Kitchen,"6853 New Hampshire Ave, Takoma Park, MD 20912",6853 New Hampshire Ave,Takoma Park,MD,20912,240338052022,38.97306409999999,-76.9950153,3.8,17,,1404,0,210,70531,0
102,China House,"6875 New Hampshire Ave, Takoma Park, MD 20912",6875 New Hampshire Ave,Takoma Park,MD,20912,240338052022,38.9730285,-76.9950917,4,1,,1404,0,210,70531,0
103,Hunan East Restaurants,"5760 Silver Hill Rd, District Heights, MD 20747",5760 Silver Hill Rd,District Heights,MD,20747,240338024072,38.8550814,-76.9101501,3.7,235,2,1722,0,178,53912,0
104,Oriental Express,"5254 Marlboro Pike, Capitol Heights, MD 20743",5254 Marlboro Pike,Capitol Heights,MD,20743,240338028031,38.8661611,-76.9162149,4.1,208,1,2757,29,266,61000,0.010518679
105,Joe's Noodle House,"1488 Rockville Pike ste c, Rockville, MD 20852",1488 Rockville Pike ste c,Rockville,MD,20852,240317009041,39.065691,-77.126141,4.1,369,2,2381,1005,97,54073,0.42209154
106,East Pearl Restaurant,"838 Rockville Pike B, Rockville, MD 20852",838 Rockville Pike B,Rockville,MD,20852,240317009042,39.0760657,-77.1373403,4.1,704,2,1477,774,223,105075,0.52403522
107,Asian Delight,"11305 Lockwood Dr, Silver Spring, MD 20904",11305 Lockwood Dr,Silver Spring,MD,20904,240317015095,39.0402,-76.9890139,3.5,2,2,946,225,47,44271,0.23784356
108,Lee's Hunan Chinese Restaurant,"971 Beards Hill Rd, Aberdeen, MD 21001",971 Beards Hill Rd,Aberdeen,MD,21001,240253028012,39.5245812,-76.1802188,4.5,771,1,975,45,0,63472,0.046153847
109,Alina’s Asian Cuisine,"310 S Philadelphia Blvd, Aberdeen, MD 21001",310 S Philadelphia Blvd,Aberdeen,MD,21001,240253029021,39.5049228,-76.1669845,4.3,259,2,686,0,0,,0
110,Szechuan Inn,"114 S Philadelphia Blvd, Aberdeen, MD 21001",114 S Philadelphia Blvd,Aberdeen,MD,21001,240253029021,39.5075865,-76.1652388,3.6,353,1,686,0,0,,0
111,Lee's Asian Bistro,"1408 Handlir Dr, Bel Air, MD 21015",1408 Handlir Dr,Bel Air,MD,21015,240253017042,39.4814561,-76.2552759,4.1,596,1,1643,19,5,97755,0.011564212
112,Hibachi Express,"3709 Pulaski Hwy, Abingdon, MD 21009",3709 Pulaski Hwy,Abingdon,MD,21009,240253017071,39.455825,-76.262872,4.1,78,,3107,40,20,104630,0.012874155
113,Szechuan Express,"2931 Emmorton Rd, Abingdon, MD 21009",2931 Emmorton Rd,Abingdon,MD,21009,240253011052,39.4789014,-76.309429,3.7,207,2,1657,43,18,115513,0.025950514
114,Panda Express,"403 Constant Friendship Blvd, Abingdon, MD 21009",403 Constant Friendship Blvd,Abingdon,MD,21009,240253012041,39.4616923,-76.3169293,3.7,416,1,337,0,0,,0
115,Great Wall,"2244 Hanson Rd, Edgewood, MD 21040",2244 Hanson Rd,Edgewood,MD,21040,240253016021,39.4281758,-76.2986024,3.5,128,1,1712,0,0,117969,0
116,New Chinese Boys,"1020 Joppa Farm Rd, Joppatowne, MD 21085",1020 Joppa Farm Rd,Joppatowne,MD,21085,240253014013,39.4206753,-76.371188,4.1,288,1,2215,22,29,100931,0.00993228
117,China Delight,"1 Newport Dr Suite E, Forest Hill, MD 21050",1 Newport Dr Suite E,Forest Hill,MD,21050,240253032014,39.5777158,-76.3852825,4.4,333,1,2167,31,9,112875,0.014305491
118,Sakura Teppanyaki Inc,"1366 Martin Blvd, Middle River, MD 21220",1366 Martin Blvd,Middle River,MD,21220,240054516002,39.3350134,-76.4477787,4.5,272,1,1192,8,6,88911,0.006711409
119,China Garden,"8653 Belair Rd, Baltimore, MD 21236",8653 Belair Rd,Baltimore,MD,21236,240054113062,39.390398,-76.488866,3.5,63,1,3087,418,0,136313,0.13540654
120,Kim Wah Restaurant,"116 N Tollgate Rd, Bel Air, MD 21014",116 N Tollgate Rd,Bel Air,MD,21014,240253035021,39.523816,-76.360123,4.3,205,,249,0,0,135714,0
121,Kung Fu 12 Szechuan (Baltimore) 功夫十二,"1427 York Rd, Timonium, MD 21093",1427 York Rd,Timonium,MD,21093,240054902002,39.4198372,-76.6150305,4.5,469,2,1136,481,0,100234,0.42341548
122,Szechuan Hot Wok,"831 Nursery Rd, Linthicum Heights, MD 21090",831 Nursery Rd,Linthicum Heights,MD,21090,240037512002,39.22438959999999,-76.6648905,4.2,236,1,2545,71,7,120714,0.027897839
123,Hing Wah Chinese Carryout,"804 Conowingo Rd G, Bel Air, MD 21014",804 Conowingo Rd G,Bel Air,MD,21014,240253036031,39.5485443,-76.3504874,4.2,85,1,2180,83,0,173693,0.038073394
124,Asian Bistro Express,"8767 D Philadelphia Rd, Rosedale, MD 21237",8767 D Philadelphia Rd,Rosedale,MD,21237,240054512001,39.3396997,-76.4845912,4,267,1,2050,85,0,82548,0.041463416
125,Panda Express,"5351 Campbell Blvd, Nottingham, MD 21236",5351 Campbell Blvd,Nottingham,MD,21236,240054407021,39.3675259,-76.4512969,3.7,378,1,2111,526,19,96111,0.249171
126,China Garden Restaurant,"1278 Bay Dale Dr, Arnold, MD 21012",1278 Bay Dale Dr,Arnold,MD,21012,240037311061,39.0383746,-76.48065,4,136,1,2720,220,15,126293,0.080882356
127,China King,"7165 Baltimore Annapolis Blvd, Glen Burnie, MD 21061",7165 Baltimore Annapolis Blvd,Glen Burnie,MD,21061,240037508012,39.1876507,-76.6418944,4.1,131,1,1167,0,0,123500,0
128,New Chen Carry Out,"1770 York Rd, Timonium, MD 21093",1770 York Rd,Timonium,MD,21093,240054088001,39.4286912,-76.6228326,3.8,137,1,1226,95,11,106833,0.077487767
129,Hunan Garden,"1207 Liberty Rd, Sykesville, MD 21784",1207 Liberty Rd,Sykesville,MD,21784,240135052072,39.403913,-76.9537464,4.5,276,1,2429,255,17,131303,0.10498147
130,Bruce Lee Kitchen,"13 Aquahart Rd, Glen Burnie, MD 21061",13 Aquahart Rd,Glen Burnie,MD,21061,240037304032,39.1518811,-76.6296574,4.4,275,,2098,35,119,100250,0.016682554
131,Happy Garden,"810 Nursery Rd Suite E, Linthicum Heights, MD 21090",810 Nursery Rd Suite E,Linthicum Heights,MD,21090,240037512002,39.2253491,-76.6637048,4.1,75,1,2545,71,7,120714,0.027897839
132,China Taste Carry Out,"2013 Edmondson Ave, Baltimore, MD 21223",2013 Edmondson Ave,Baltimore,MD,21223,245101604002,39.2949119,-76.6495016,3.4,143,,356,13,21,58125,0.036516853
133,Bamboo,"7075 Baltimore Annapolis Blvd, Glen Burnie, MD 21061",7075 Baltimore Annapolis Blvd,Glen Burnie,MD,21061,240037504002,39.1993269,-76.6397867,4.1,44,2,457,72,0,60673,0.15754923
